,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,elev_high,elev_low
107,2,Afternoon Run,8054.6,2381,2777,47.9,Run,Run,6908917963,2022-03-30T21:53:28Z,2022-03-30T17:53:28Z,(GMT-05:00) America/New_York,-14400.0,,,,3,0,0,1,0,False,False,False,False,everyone,False,,"[33.78265614621341, -84.38004666008055]","[33.784188106656075, -84.37820054590702]",3.383,4.901,True,169.1,179.0,False,True,7351279168,7351279168,garmin_push_8554963977,False,0,0,False,37571002,1,a6908917963,qdemEhn_bOGK_@SQUGe@OMMWWSM]MKq@c@CKi@SMACCSw@KWFa@Eq@@GN[J[hAwADIHc@IkC?mBGcABcAFs@F]Ro@j@oAB[TcA^mAL[f@u@Qu@BMPM|@@p@GROOuAi@_BEUFc@d@oAF_@Kk@S]YWg@MI?_@La@TGJw@~C_@^a@RSDi@Ac@Uq@i@]Ac@Fc@\[`@MXMl@@z@@L`@nAZb@VTb@Jd@DzCUF@PFd@CrAu@`@Ch@BXA\OD[McAc@yAEg@@ON}@Rm@@[Gi@FWh@eA@OC[CsAC_@FYAODg@NYt@k@x@e@|@}@d@Yp@s@r@k@r@[p@k@dAc@d@[lAs@lD}@f@K`@On@GR?~Bi@|Du@j@IV?b@Gl@QlAQt@CbAKpAY`BU`AUZCdAUHGXGh@@ZAfAK`D}BTSZ_@@Gl@a@^Y`Ag@v@i@FUlA{@p@s@r@eA`@SlAmAZc@^a@HGv@y@~A_AhAc@pA_@b@GfAEbADTLtCEBDh@Dj@JnA^`@JRB`@Pd@Zq@Mm@_@eA[oASsAY_C@_@Eg@BIAw@DuExAUJeAz@c@b@_@d@o@h@Y^aAdAaA|@]f@c@b@i@\uArAa@RiAp@aAt@gAr@}@`@GFcA`@sAv@gA\sAJaD^W?sBNo@BcBVyBToAXwAL_Dp@m@T_@Fc@DuA^_BXmAj@kAb@sBpAo@Xs@h@{@p@_AdAa@^{A|@a@\WXAn@k@rFaAK_@?YF]ZUd@c@dBIPYV_@Pk@B[G_Ao@c@Ie@H_@ZY`@Uj@If@@j@Jv@Rh@v@x@pAfCh@Gh@A^HZXVf@Bt@Cf@Y|AQvCHhBApEKx@Sf@u@jAUb@Un@AX,2,,80.0,296.7,264.0
109,2,Evening Run,5176.9,1490,1730,17.8,Run,Run,6904132965,2022-03-29T22:40:35Z,2022-03-29T18:40:35Z,(GMT-05:00) America/New_York,-14400.0,,,,9,0,0,1,0,False,False,False,False,everyone,False,,"[33.782752035185695, -84.38001380302012]","[33.78307071514428, -84.379936857149]",3.474,4.505,True,173.4,186.0,False,True,7346085449,7346085449,garmin_push_8549402791,False,1,0,False,37571002,1,a6904132965,eeemEbn_bO]M{@o@Se@Ya@[OWSg@WSSWCQIUe@Bi@Ps@LsAdBeCJoA@e@Ik@A]D{@CsBBOIc@KiB\w@HgAFMv@oADUNKTY\[Va@JYCYYe@?OBELEb@C^@f@F\QA]Km@WcAKeBDe@Tq@Dk@K_@Se@IIc@Ke@?c@Na@d@On@Ix@Sj@[^i@Pi@Bc@KWUa@WMAc@A]D[Va@d@Ob@AvAFf@Lh@`@p@\RZLh@Bh@@j@C~ACf@BDA~@i@VFNf@?XCBgA`@kAP}@ViC^k@@c@I]]Yc@SkAIU]qAY_@_@[sA?wAN_@TO\SpDHt@Nf@`AhB^\p@b@T^Xl@R\`@JpAh@`@X`@d@NZPt@?j@AbABdAA\DZPd@?JC?SMa@Qa@K[SEKDK\a@Pi@Fk@Be@Ey@E[]a@u@c@c@MwASkCc@g@Ga@Ie@@e@Hs@^Ud@Qp@Al@Bp@DTP^TZXVz@h@z@^xANrBXd@?p@Il@QXS\_@HKNa@RaAAUY_Ae@g@a@Ue@Oc@GyCs@g@Kk@Cu@Km@Hy@f@g@z@IRCd@@n@Ph@Vb@d@d@~@h@bA\vAZ~GZXHPLNNLTXv@@p@KlAB~@Fb@HTNNb@PjBlAf@l@Rb@,2,,80.2,281.7,264.0
111,2,Afternoon Activity,0.0,2547,2547,0.0,WeightTraining,WeightTraining,6904131870,2022-03-29T21:53:13Z,2022-03-29T17:53:13Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,124.0,158.0,False,True,7346084277,7346084277,garmin_push_8549401741,False,0,0,False,37571002,1,a6904131870,,2,,,,
112,2,Night Activity,0.0,2196,2196,0.0,WeightTraining,WeightTraining,6899839883,2022-03-29T01:59:37Z,2022-03-28T21:59:37Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,118.0,150.0,False,True,7341447658,7341447658,garmin_push_8544418960,False,0,0,False,37571002,1,a6899839883,,2,,,,
113,2,Afternoon Run,9843.4,2572,2700,0.0,Run,Run,6893669695,2022-03-27T20:02:39Z,2022-03-27T16:02:39Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.827,4.182,True,165.0,185.0,False,True,7334681016,7334681016,garmin_push_8537196978,False,0,0,False,37571002,1,a6893669695,,2,,79.8,,
115,2,Lunch Run,2404.0,757,1611,39.6,Run,Run,6886781557,2022-03-26T16:29:08Z,2022-03-26T12:29:08Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[33.76947493292391, -84.39225750043988]","[33.77072316594422, -84.39378258772194]",3.176,5.223,True,153.0,172.0,False,True,7327117297,7327117297,garmin_push_8529154988,False,0,0,False,37571002,1,a6886781557,erbmErzabO^IdAGL?^GnA]xAKDBF\IbBAfJHJTLp@?`@H\EV@l@Cf@DXC^Fr@EjAF[@i@J}ABc@EgAHq@GkACmAJICiA@]G[AUPCDGhABh@At@uBaTy@@WF_@@_@?KBUBKJDt@An@b@LZPH^HRDX?NuFz@XMg@IIDCF?LJlD?j@GvAF`AGd@RDhBFpD?h@AtB]APGFM@wAFw@JkAKm@AmA@}@He@VGAKSK}@LaADq@FUHm@JmACcAGi@@[DEt@ATDPPROCDB@,2,,80.1,304.6,283.7
117,2,Evening Activity,0.0,2854,2854,0.0,WeightTraining,WeightTraining,6882748586,2022-03-26T00:11:43Z,2022-03-25T20:11:43Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,135.3,175.0,False,True,7322737476,7322737476,garmin_push_8524665593,False,0,0,False,37571002,1,a6882748586,,2,,,,
118,2,Night Activity,0.0,3163,3163,0.0,WeightTraining,WeightTraining,6873220334,2022-03-24T02:55:20Z,2022-03-23T22:55:20Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,129.5,168.0,False,True,7312429833,7312429833,garmin_push_8513652179,False,0,0,False,37571002,1,a6873220334,,2,,,,
119,2,Evening Run,4838.3,1361,1453,33.9,Run,Run,6861668495,2022-03-21T23:00:06Z,2022-03-21T19:00:06Z,(GMT-05:00) America/New_York,-14400.0,,,,10,0,0,1,0,False,False,False,False,everyone,False,,"[33.78413890488446, -84.37767952680588]","[33.78283157944679, -84.38060321845114]",3.555,4.707,True,169.2,183.0,False,True,7300025426,7300025426,garmin_push_8500659102,False,5,0,False,37571002,1,a6861668495,ymemEn__bOPIT]`@]Xi@F_@Dg@@a@GcCAwAEm@?m@JkBDa@Tq@VoAb@gA`@g@FMZYZk@?c@Q]?SXKb@?r@BXKLK@MIs@W}@OeACu@D]Vy@?k@Qc@W_@s@QQBe@Vc@j@u@nCU^WLc@HY?WIiAw@e@Em@PY\Yd@Qh@?l@Hv@Nj@T`@`Ap@d@Pt@IhAB`BKj@KTUh@]h@I\Dj@IHGBMAMg@eCEaABm@Ps@Dk@Kk@[c@c@Me@AMBe@TS^M|@YlAWb@UTi@Je@AKC_@W]_@EAc@Cc@Fg@Vm@dA?x@Dt@Rv@b@l@`@Xt@PnECd@K~@o@^QPAh@Dt@IDGGu@c@iBAg@Bk@ZmA@UAq@K_@UY]I]?c@DODc@\Gh@_@zAa@p@e@XYF[@WCWOg@c@c@Kg@HG@_@\Y`@Yx@HxARv@Zb@\T`@R`ANz@Id@AjA@^I|@a@JDOtBq@fAQf@Gb@Yn@SfAMXBz@Ap@LxACp@B`BEj@AjAGl@i@tAg@d@Y^Ud@K^CtBCd@@FjAZ|@b@XRx@bAH^EZPj@@L?fAJd@El@H\Hx@Rb@Lp@@UPcAWmBUgA,2,,81.2,286.0,264.0
121,2,Morning Run,7244.0,2083,2136,0.0,Run,Run,6854463139,2022-03-20T14:34:41Z,2022-03-20T10:34:41Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.478,3.802,True,166.7,182.0,False,True,7292198823,7292198823,garmin_push_8492377203,False,0,0,False,37571002,1,a6854463139,,2,,81.1,,
123,2,Night Run,3587.2,1037,1037,0.0,Run,Run,6851349993,2022-03-20T03:23:32Z,2022-03-19T23:23:32Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.459,3.784,True,173.6,183.0,False,True,7288817190,7288817190,garmin_push_8488718390,False,0,0,False,37571002,1,a6851349993,,2,,81.2,,
125,2,Night Activity,0.0,2835,2835,0.0,WeightTraining,WeightTraining,6851295446,2022-03-20T02:31:31Z,2022-03-19T22:31:31Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,123.2,154.0,False,True,7288757797,7288757797,garmin_push_8488659329,False,0,0,False,37571002,1,a6851295446,,2,,,,
126,2,Night Activity,0.0,1489,1489,0.0,WeightTraining,WeightTraining,6836352758,2022-03-17T03:21:54Z,2022-03-16T23:21:54Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,141.6,158.0,False,True,7272621775,7272621775,garmin_push_8471685242,False,0,0,False,37571002,1,a6836352758,,2,,,,
127,2,Night Run,3599.5,1052,1052,0.0,Run,Run,6836318376,2022-03-17T03:01:00Z,2022-03-16T23:01:00Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.422,3.599,True,156.5,176.0,False,True,7272584808,7272584808,garmin_push_8471646233,False,0,0,False,37571002,1,a6836318376,,2,,79.3,,
129,2,Night Activity,0.0,368,368,0.0,WeightTraining,WeightTraining,6825683619,2022-03-15T01:52:59Z,2022-03-14T21:52:59Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,134.3,145.0,False,True,7261187974,7261187974,garmin_push_8459413012,False,0,0,False,37571002,1,a6825683619,,2,,,,
130,2,Night Run,7341.4,2121,2357,0.0,Run,Run,6825663812,2022-03-15T01:09:31Z,2022-03-14T21:09:31Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.461,3.718,True,159.8,184.0,False,True,7261167069,7261167069,garmin_push_8459394649,False,0,0,False,37571002,1,a6825663812,,2,,80.3,,
131,2,Night Activity,0.0,3222,3222,0.0,WeightTraining,WeightTraining,6820971801,2022-03-14T02:08:34Z,2022-03-13T22:08:34Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,120.0,150.0,False,True,7256126272,7256126272,garmin_push_8453795697,False,0,0,False,37571002,1,a6820971801,,2,,,,
132,2,Morning Run,5529.0,1598,1598,0.0,Run,Run,6818447718,2022-03-13T14:49:22Z,2022-03-13T10:49:22Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.46,3.823,True,159.9,174.0,False,True,7253378429,7253378429,garmin_push_8450945858,False,0,0,False,37571002,1,a6818447718,,2,,80.3,,
134,2,Lunch Activity,0.0,2018,2018,0.0,WeightTraining,WeightTraining,6815042427,2022-03-12T17:36:57Z,2022-03-12T12:36:57Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,143.6,163.0,False,True,7249685477,7249685477,garmin_push_8446968870,False,0,0,False,37571002,1,a6815042427,,2,,,,
135,2,Lunch Run,3715.4,1075,1075,0.0,Run,Run,6813576993,2022-03-12T17:16:05Z,2022-03-12T12:16:05Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.456,3.727,True,163.1,178.0,False,True,7248082307,7248082307,garmin_push_8445390996,False,0,0,False,37571002,1,a6813576993,,2,,80.3,,
137,2,Night Activity,0.0,2636,2636,0.0,WeightTraining,WeightTraining,6778212016,2022-03-05T04:18:52Z,2022-03-04T23:18:52Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,131.4,163.0,False,True,7209926483,7209926483,garmin_push_8404806529,False,0,0,False,37571002,1,a6778212016,,2,,,,
138,2,Evening Run,5639.4,1848,2466,0.0,Run,Run,6778211202,2022-03-04T23:16:13Z,2022-03-04T18:16:13Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.052,3.587,True,161.1,182.0,False,True,7209925614,7209925614,garmin_push_8404805501,False,0,0,False,37571002,1,a6778211202,,2,,81.1,,
140,2,Night Activity,0.0,3228,3228,0.0,WeightTraining,WeightTraining,6778210487,2022-03-04T03:29:44Z,2022-03-03T22:29:44Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,125.6,162.0,False,True,7209924890,7209924890,garmin_push_8404804778,False,0,0,False,37571002,1,a6778210487,,2,,,,
141,2,Afternoon Run,4832.8,1540,1967,0.0,Run,Run,6778209201,2022-03-02T22:57:10Z,2022-03-02T17:57:10Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.138,3.355,True,165.1,182.0,False,True,7209923466,7209923466,garmin_push_8404803325,False,0,0,False,37571002,1,a6778209201,,2,,75.4,,
143,2,Night Activity,0.0,3048,3048,0.0,WeightTraining,WeightTraining,6778208459,2022-03-01T02:54:57Z,2022-02-28T21:54:57Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,124.9,163.0,False,True,7209922652,7209922652,garmin_push_8404802522,False,0,0,False,37571002,1,a6778208459,,2,,,,
145,2,Evening Activity,0.0,2775,2775,0.0,WeightTraining,WeightTraining,6778205839,2022-02-26T00:23:44Z,2022-02-25T19:23:44Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,130.5,161.0,False,True,7209919880,7209919880,garmin_push_8404799679,False,0,0,False,37571002,1,a6778205839,,2,,,,
146,2,Afternoon Run,4037.4,1297,1649,61.8,Run,Run,6778207416,2022-02-26T01:18:04Z,2022-02-25T17:18:04Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.742123836651444, -117.22358984872699]","[32.73989450186491, -117.24645702168345]",3.113,3.787,True,162.5,177.0,False,True,7209921527,7209921527,garmin_push_8404801303,False,0,0,False,37571002,1,a6778207416,g}yfElfnjUzApAx@p@ZZZl@FJ`@jBFl@f@lCZdAVv@Vd@r@bA`AhA\j@l@f@^l@`@|@Z|An@xA^^V^|@j@nBdBz@j@bA|@rB~AfFnEr@v@^VxBhBFNaEzGWh@u@lACHI`@S^kAbBSb@y@r@[^Oj@Cj@DnA?n@Sp@Wd@OFYp@_BvCSh@m@bAu@fBw@tAcBbDiCjFo@dAs@zAwBxD_@|@QjANPhDhC,2,,79.8,70.6,27.1
147,2,Night Activity,0.0,472,472,0.0,WeightTraining,WeightTraining,6778204999,2022-02-23T05:18:39Z,2022-02-23T00:18:39Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,125.2,140.0,False,True,7209918880,7209918880,garmin_push_8404798600,False,0,0,False,37571002,1,a6778204999,,2,,,,
148,2,Night Activity,0.0,3298,3298,0.0,WeightTraining,WeightTraining,6778204698,2022-02-23T04:20:13Z,2022-02-22T23:20:13Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,140.0,166.0,False,True,7209918620,7209918620,garmin_push_8404798317,False,0,0,False,37571002,1,a6778204698,,2,,,,
150,2,Evening Activity,0.0,3221,3221,0.0,WeightTraining,WeightTraining,6778203732,2022-02-22T01:05:34Z,2022-02-21T20:05:34Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.2,161.0,False,True,7209917564,7209917564,garmin_push_8404797291,False,0,0,False,37571002,1,a6778203732,,2,,,,
152,2,Afternoon Run,4234.4,1221,1608,2.4,Run,Run,6778202729,2022-02-22T00:23:11Z,2022-02-21T16:23:11Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.74063521064818, -117.2262034099549]","[32.746426686644554, -117.21008509397507]",3.468,4.226,True,160.7,180.0,False,True,7209916518,7209916518,garmin_push_8404796232,False,0,0,False,37571002,1,a6778202729,}syfExvnjUMc@UqAK_@Gy@Qy@Ok@i@_AaAy@_@a@OSg@[QQeAw@]]GQe@e@]OWWQ[c@a@[a@_@mAMs@I}A?m@Pg@Jc@Ag@KwAI_@M}Ac@oBQoBOo@Y{DCMSe@{@cAWSc@Ue@Mm@g@_@s@c@{A@_@rBkDPe@?IBETa@Tg@V_@JUT_@Tg@FQ?SUWCMaAk@eCwCGq@kB}Cm@w@,2,,80.4,52.2,5.4
153,2,Evening Activity,0.0,508,508,0.0,WeightTraining,WeightTraining,6778201198,2022-02-21T00:22:13Z,2022-02-20T19:22:13Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,101.6,122.0,False,True,7209914832,7209914832,garmin_push_8404794550,False,0,0,False,37571002,1,a6778201198,,2,,,,
156,2,Afternoon Run,1939.6,605,605,0.0,Run,Run,6778201830,2022-02-21T00:39:22Z,2022-02-20T16:39:22Z,(GMT-08:00) America/Los_Angeles,-28800.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[32.684596572071314, -117.18969276174903]","[32.683747401461005, -117.18780792318285]",3.206,3.658,True,131.5,146.0,False,True,7209915544,7209915544,garmin_push_8404795293,False,0,0,False,37571002,1,a6778201830,uunfErrgjUIJMf@w@|D[lAKf@QzAk@jCMr@Gj@El@_@`DU|BMpB?n@QrAK`BO|AEn@AlA?u@NiAD}@f@cFZeCVwCnAkIRcAJs@jBiItBoHJe@Dk@^{A,2,,80.9,2.9,1.0
157,2,Afternoon Activity,0.0,2208,2208,0.0,WeightTraining,WeightTraining,6778200927,2022-02-17T21:16:10Z,2022-02-17T16:16:10Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,130.2,164.0,False,True,7209914528,7209914528,garmin_push_8404794210,False,0,0,False,37571002,1,a6778200927,,2,,,,
158,2,Night Activity,0.0,678,678,0.0,WeightTraining,WeightTraining,6778200053,2022-02-17T05:08:54Z,2022-02-17T00:08:54Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,129.3,147.0,False,True,7209913601,7209913601,garmin_push_8404793206,False,0,0,False,37571002,1,a6778200053,,2,,,,
159,2,Night Ride,0.0,2103,2103,0.0,Ride,Ride,6778199790,2022-02-17T04:31:50Z,2022-02-16T23:31:50Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,136.5,164.0,False,True,7209913297,7209913297,garmin_push_8404792872,False,0,0,False,37571002,1,a6778199790,,2,,,,
160,2,Night Activity,0.0,2159,2159,0.0,WeightTraining,WeightTraining,6778199307,2022-02-16T04:11:32Z,2022-02-15T23:11:32Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,135.8,163.0,False,True,7209912767,7209912767,garmin_push_8404792242,False,0,0,False,37571002,1,a6778199307,,2,,,,
161,2,Night Ride,0.0,912,912,0.0,Ride,Ride,6778198592,2022-02-16T03:53:06Z,2022-02-15T22:53:06Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,134.1,156.0,False,True,7209911987,7209911987,garmin_push_8404791386,False,0,0,False,37571002,1,a6778198592,,2,,,,
162,2,Afternoon Run,6456.3,1949,2269,0.0,Run,Run,6778198304,2022-02-12T21:15:02Z,2022-02-12T16:15:02Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.313,3.629,True,170.8,183.0,False,True,7209911681,7209911681,garmin_push_8404791033,False,0,0,False,37571002,1,a6778198304,,2,,78.2,,
164,2,Night Activity,0.0,2769,2769,0.0,WeightTraining,WeightTraining,6778197558,2022-02-12T04:59:18Z,2022-02-11T23:59:18Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,131.8,167.0,False,True,7209910868,7209910868,garmin_push_8404790238,False,0,0,False,37571002,1,a6778197558,,2,,,,
166,2,Night Ride,0.0,602,602,0.0,Ride,Ride,6778196554,2022-02-12T04:46:24Z,2022-02-11T23:46:24Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,140.7,172.0,False,True,7209909810,7209909810,garmin_push_8404789212,False,0,0,False,37571002,1,a6778196554,,2,,,,
167,2,Night Activity,0.0,1188,1188,0.0,WeightTraining,WeightTraining,6778196328,2022-02-08T02:43:59Z,2022-02-07T21:43:59Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,117.3,134.0,False,True,7209909544,7209909544,garmin_push_8404788893,False,0,0,False,37571002,1,a6778196328,,2,,,,
168,2,Night Run,3206.1,946,1011,0.0,Run,Run,6778195894,2022-02-08T02:22:25Z,2022-02-07T21:22:25Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.389,4.385,True,168.3,188.0,False,True,7209909048,7209909048,garmin_push_8404788380,False,0,0,False,37571002,1,a6778195894,,2,,80.7,,
170,2,Afternoon Activity,0.0,3620,3620,0.0,WeightTraining,WeightTraining,6778195579,2022-02-06T20:08:37Z,2022-02-06T15:08:37Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,126.5,153.0,False,True,7209908671,7209908671,garmin_push_8404787980,False,0,0,False,37571002,1,a6778195579,,2,,,,
171,2,Night Activity,0.0,2439,2439,0.0,WeightTraining,WeightTraining,6778194354,2022-02-05T04:33:37Z,2022-02-04T23:33:37Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,126.5,169.0,False,True,7209907381,7209907381,garmin_push_8404786702,False,0,0,False,37571002,1,a6778194354,,2,,,,
172,2,Night Activity,0.0,2763,2763,0.0,WeightTraining,WeightTraining,6623540100,2022-02-03T04:58:07Z,2022-02-02T23:58:07Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,109.8,155.0,False,True,7043459729,7043459729,garmin_push_8229104149,False,0,0,False,37571002,1,a6623540100,,2,,,,
173,2,Evening Activity,0.0,2275,2275,0.0,WeightTraining,WeightTraining,6617590210,2022-02-01T23:06:29Z,2022-02-01T18:06:29Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,134.6,164.0,False,True,7037129421,7037129421,garmin_push_8222501551,False,0,0,False,37571002,1,a6617590210,,2,,,,
174,2,Evening Activity,0.0,366,366,0.0,WeightTraining,WeightTraining,6612671218,2022-02-01T01:36:04Z,2022-01-31T20:36:04Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,138.2,150.0,False,True,7031887406,7031887406,garmin_push_8216945028,False,0,0,False,37571002,1,a6612671218,,2,,,,
175,2,Evening Activity,0.0,3572,3572,0.0,WeightTraining,WeightTraining,6612654797,2022-02-01T00:36:05Z,2022-01-31T19:36:05Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,124.5,151.0,False,True,7031870047,7031870047,garmin_push_8216930706,False,0,0,False,37571002,1,a6612654797,,2,,,,
176,2,Afternoon Activity,0.0,3493,3493,0.0,WeightTraining,WeightTraining,6607444642,2022-01-30T20:23:23Z,2022-01-30T15:23:23Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,120.3,150.0,False,True,7026301634,7026301634,garmin_push_8210955203,False,0,0,False,37571002,1,a6607444642,,2,,,,
177,2,Night Activity,0.0,2235,2235,0.0,WeightTraining,WeightTraining,6602647785,2022-01-30T02:02:10Z,2022-01-29T21:02:10Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,120.5,164.0,False,True,7021153232,7021153232,garmin_push_8205769020,False,0,0,False,37571002,1,a6602647785,,2,,,,
178,2,Evening Activity,0.0,2154,2154,0.0,WeightTraining,WeightTraining,6596858308,2022-01-29T00:23:42Z,2022-01-28T19:23:42Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,140.7,159.0,False,True,7014930156,7014930156,garmin_push_8199385779,False,0,0,False,37571002,1,a6596858308,,2,,,,
179,2,Evening Run,5671.4,1560,1583,0.0,Run,Run,6596752051,2022-01-28T23:51:05Z,2022-01-28T18:51:05Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.636,4.058,True,170.5,187.0,False,True,7014817448,7014817448,garmin_push_8199281085,False,0,0,False,37571002,1,a6596752051,,2,,81.0,,
181,2,Evening Activity,0.0,3094,3094,0.0,WeightTraining,WeightTraining,6592662914,2022-01-28T01:58:04Z,2022-01-27T20:58:04Z,(GMT-05:00) America/New_York,-18000.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,126.3,159.0,False,True,7010429917,7010429917,garmin_push_8194530955,False,0,0,False,37571002,1,a6592662914,,2,,,,
