,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,elev_high,elev_low
76,2,Night Activity,0.0,2293,2293,0.0,WeightTraining,WeightTraining,7025570460,2022-04-23T03:12:21Z,2022-04-22T23:12:21Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,122.9,152.0,False,True,7477722248,7477722248,garmin_push_8688769750,False,0,0,False,37571002,1,a7025570460,,2,,,,
77,2,Night Run,1887.0,505,505,0.0,Run,Run,7025570227,2022-04-23T02:53:08Z,2022-04-22T22:53:08Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],3.737,3.934,True,161.1,178.0,False,True,7477721954,7477721954,garmin_push_8688769412,False,0,0,False,37571002,1,a7025570227,,2,,80.8,,
79,2,Evening Run,8055.1,2363,2758,63.6,Run,Run,7020285302,2022-04-21T22:07:31Z,2022-04-21T18:07:31Z,(GMT-05:00) America/New_York,-14400.0,,,,2,0,0,1,0,False,False,False,False,everyone,False,,"[33.78250585868955, -84.38015956431627]","[33.78299561329186, -84.37988229095936]",3.409,4.706,True,169.0,183.0,False,True,7471985971,7471985971,garmin_push_8682652873,False,2,0,False,37571002,1,a7020285302,scemE~n_bOxAXF?XDAqADeAK[?EPaB?UBUNi@?a@E_BEcAEkCKaBBkBFsAC_@?wE@o@A}CC{@DoDI}B@{AFqBAy@Bu@CkB@i@EWWQHYTWh@e@x@k@RWp@c@j@q@zAmATWPMNGn@_@xAcAdA_@vAo@jCk@v@W^Ch@AvAe@hCm@pBWd@Kh@Cl@QvAGzAMj@MhBWf@CVDRF^GXFVC`@QVQFGLE^CRHXHFAPNN?zAeBJ[^_@lAs@|@{@`@]pA{@rBkBx@cA|AqA|@eAzCqCjA{@t@_@f@Kf@S\G`CYlAJ\N`BAh@Ld@Dr@V\D^N^V\Jh@X~@v@v@f@Z\d@\b@d@Zf@N\PXXXXj@zAfBNh@pAlBZZ^Xb@f@^XjBjAZLaBe@gAi@iAgAIMYUe@k@y@uAu@_AU_@Q]e@oAOYKCKe@Y_@c@e@o@c@}@aAsAq@m@_@c@S_@[_@OyBm@_ASqBHmAAs@No@J}@Vo@XSDc@VqApA_@Ze@V_@ZaCfCy@dAc@ZSF}AxBm@TcA|@a@Re@\KBe@Z_@RKDi@H]ZmAVUHe@d@iAl@g@?e@Bo@Ra@@kAReAAs@Ds@@oAJ}B\k@B}Bf@a@FkA^c@Hg@Da@Ja@RMA]@e@Fi@P{@Jg@Nq@^y@Re@R_@Rg@d@a@Tg@T_CbBeAdAY`@MVaBh@yAlAVrADn@A~GDv@E~A?dBJ|CA\Gd@BtHD~CCd@E|ABjACV?l@F|AC^@`AER?d@K|A?\Nl@B^CvAHbAA`@A\Id@OAe@Dg@Ea@I_Bs@IS,2,,79.6,303.2,265.7
81,2,Evening Run,4298.2,1278,1342,43.0,Run,Run,7015104231,2022-04-20T23:10:17Z,2022-04-20T19:10:17Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,everyone,False,,"[33.78260585479438, -84.38023424707353]","[33.78247434273362, -84.38020080327988]",3.363,4.973,True,171.3,180.0,False,True,7466386273,7466386273,garmin_push_8676807218,False,0,0,False,37571002,1,a7015104231,gdemEno_bOTBl@@ZHPNTHD?FIFQNaBJs@?g@BYAe@Do@Gy@]yACcACk@?o@CuED_EIm@C{AByD?qBDaBC}AByAAoC@{ECu@BmBASKc@@WN_@\_@d@Yz@a@l@Sh@aARUzCaChAi@pAy@h@UpA[`@S~C_A\O`BYt@UlC]lCe@f@C`C]pAMLEQHYF_BJy@LyBRc@Lu@FgAP{Bb@]JoAVm@Tw@LcAVc@Ny@f@eAd@k@\iCtAiDtCUZ_An@mAl@IH[`@P^?H?ZKpA?n@D`@An@@vGE~ABdBJ~AGtC@tCBb@IlDDtEEp@Dx@Cx@Bf@C~@H`AA^Dr@DTDHDh@IX@r@AbC?jAGF_ASk@Fc@K,2,,79.5,288.6,265.7
83,2,Evening Activity,0.0,1883,1883,0.0,WeightTraining,WeightTraining,7015102952,2022-04-20T22:26:39Z,2022-04-20T18:26:39Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,118.0,161.0,False,True,7466384974,7466384974,garmin_push_8676806015,False,0,0,False,37571002,1,a7015102952,,2,,,,
84,2,Night Activity,0.0,369,369,0.0,WeightTraining,WeightTraining,7010349566,2022-04-20T03:40:26Z,2022-04-19T23:40:26Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,138.5,149.0,False,True,7461263321,7461263321,garmin_push_8671210872,False,0,0,False,37571002,1,a7010349566,,2,,,,
85,2,Night Activity,0.0,2965,2965,0.0,WeightTraining,WeightTraining,7010340321,2022-04-20T02:50:22Z,2022-04-19T22:50:22Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,131.1,163.0,False,True,7461253090,7461253090,garmin_push_8671199176,False,0,0,False,37571002,1,a7010340321,,2,,,,
86,2,Night Activity,0.0,3254,3254,0.0,WeightTraining,WeightTraining,6994137198,2022-04-17T02:10:38Z,2022-04-16T22:10:38Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,123.0,156.0,False,True,7443605782,7443605782,garmin_push_8652671105,False,0,0,False,37571002,1,a6994137198,,2,,,,
87,2,Evening Run,8861.0,2513,2699,65.4,Run,Run,6982957113,2022-04-14T22:33:39Z,2022-04-14T18:33:39Z,(GMT-05:00) America/New_York,-14400.0,,,,5,0,0,1,0,False,False,False,False,everyone,False,,"[33.782644495368004, -84.37987348996103]","[33.78424887545407, -84.37788211740553]",3.526,5.128,True,168.9,179.0,False,True,7431453188,7431453188,garmin_push_8640177656,False,0,0,False,37571002,1,a6982957113,odemEfm_bOCNEFE@e@QW_@]]Ye@_@UUW]a@a@S{@i@GW?{@DILu@Pg@Tc@l@_ATc@Pu@?i@Cs@BkACi@De@@u@EkA\eDJg@Tg@`AkB`@o@^i@Sg@Ki@@EJGzAF^WB[Gw@So@MuAJeALc@Dm@?i@Ho@Xe@BO?m@A[AgAASOk@BMPYrA}@f@Y?CCCLOx@i@bBcBv@e@v@i@h@S`@[nBcAxBw@d@MlAU\Mb@CfBg@xAUf@M~BWr@Q~B]dBUdBKnAU|AH~@I`@OLAzAJn@Xb@Dd@m@p@k@Vy@\g@`BaBb@Uh@i@t@g@Z[^c@l@i@LEVg@\c@nB{A`AgAh@a@Z[b@k@f@g@t@c@fAe@lAa@jAWrBGd@@PDFXlCUZTh@L`@N~AXp@ZXRx@v@j@V`@\rAzARXFPBB@HhAfAVd@|@lAj@`At@~AJNd@ZbB|AfAr@bDrAtATkEgAgA_@{@m@qBaB_@c@}@sAKG_AaB_@g@_@w@o@gAWYc@}@YY{@o@_@a@eAo@s@i@_Bo@m@Q{@]c@KmAUe@CoCDuB^e@LkAv@q@NYRQ`@]^e@N_A~@INiB~AyAhBg@Zg@f@g@p@c@Pc@Zc@b@y@p@u@`@IJ_@Xu@VcBJs@v@_@Te@`@c@Ny@EcAZe@Jm@HO?g@Eo@@q@J_DRwAR]Ha@Rk@Ac@Hc@No@Le@DsAR[N]Zs@Ck@F_Cr@k@TcATq@VsBxAqAz@gAx@eAhAYd@ONa@VM@m@XaAt@Dn@EzIF`A@n@C\E`DBrBFbAA\@`AE~A?fBDZCd@@lBAfBBlEAbABn@C`BDh@@h@Jd@Dl@Cf@?lAOnAGzAEd@WFe@?c@WwA_@{AcAWYe@q@_Ak@c@_@y@YCGAiAFm@Lo@,2,,80.1,304.2,265.7
89,2,Night Activity,0.0,371,371,0.0,WeightTraining,WeightTraining,6978180303,2022-04-14T01:12:01Z,2022-04-13T21:12:01Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,everyone,False,,[],[],0.0,0.0,True,132.6,143.0,False,True,7426274944,7426274944,garmin_push_8634720471,False,0,0,False,37571002,1,a6978180303,,2,,,,
